Stim,Bard,Bard 0 or 1,Bard Continuous,GPT-3.5,GPT-3.5 0 or 1,GPT-3.5 Continuous,GPT-4,GPT-4 0 or 1,GPT-4 Continuous,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum,pairs,Word2Vec,GloVe,Taxonomic
the ape body.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,1,2.75,1.24,28,0,0,0,0.08,7,136,2.14,90,5243,5333,1.95,3.72,5.67,ape body,0.151872527,0.121578387,0.301388223
the ape stage.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,1,1.04,1.17,28,0,0,0,-0.01,8,62,1.8,90,2528,2618,1.95,3.4,5.36,ape stage,0.185429026,0.08169651,0.223676916
the apple butter.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4,1,2.82,1.66,28,0,0,0,0.34,11,27237,4.44,315,490,805,2.5,2.69,5.19,apple butter,0.246291943,0.316514171,0.675683038
the apple cake.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.36,0.95,28,0,0,0,0.37,9,13050,4.12,315,383,698,2.5,2.58,5.08,apple cake,0.373114555,0.318016865,0.579569579
the apple candy.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,-1,3.07,1.02,28,0,0,0,0.31,10,1377,3.14,315,113,428,2.5,2.05,4.55,apple candy,0.405313484,0.340362489,0.6321339
the apple cider.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,4,0,28,0,0,0,0.29,10,155210,5.19,315,66,381,2.5,1.82,4.32,apple cider,0.444181052,0.421406703,0.61001162
the apple juice.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4,1,4,0,27,0.03,0,0.02,0.23,10,196757,5.29,315,365,680,2.5,2.56,5.06,apple juice,0.447455602,0.441051189,0.63116203
the apple pie.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.2,0.074,0.14,0.47,8,232943,5.37,315,225,540,2.5,2.35,4.85,apple pie,0.392972977,0.384685671,0.59537298
the apple tomato.,Nonsense,0,1,Makes Sense,1,3,Nonsense,0,0,-1,0.69,1.04,29,0,0,0,0.31,11,46,1.67,315,123,438,2.5,2.09,4.59,apple tomato,0.560818179,0.382844378,0.769088535
the apple tree.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.86,0.59,28,0.08,0.02,0.05,0.47,9,100094,5,315,1293,1608,2.5,3.11,5.61,apple tree,0.414281753,0.296468911,0.434126589
the arm sword.,Nonsense,0,3,Nonsense,0,1,Nonsense,0,1,-1,0.78,0.93,27,0,0,0,0.22,8,90,1.96,1896,237,2133,3.28,2.37,5.65,arm sword,0.264001999,0.297774675,0.5398115
the army bomb.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3,1,3.07,1.05,28,0,0,0,0.07,8,2185,3.34,1933,536,2469,3.29,2.73,6.02,army bomb,0.189176321,0.325253701,0.250174466
the army book.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2,1,3.04,1.1,28,0,0,0,0.01,8,2665,3.43,1933,4932,6865,3.29,3.69,6.98,army book,0.02177513,0.125629718,0.161081901
the army field.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3,-1,3.14,1.04,28,0,0,0,0.06,9,4927,3.69,1933,2327,4260,3.29,3.37,6.65,army field,0.066271714,0.315447978,0.222638215
the army helmet.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,3.96,0.19,28,0,0,0,0.15,10,3016,3.48,1933,166,2099,3.29,2.22,5.51,army helmet,0.123069273,0.167697458,0.218709696
the army hospital.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.71,0.71,28,0,0,0,0.06,12,6734,3.83,1933,1884,3817,3.29,3.28,6.56,army hospital,0.194949078,0.308363288,0.254418422
the army jacket.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3,1,3.86,0.36,28,0,0.014,0.01,0.09,10,4929,3.69,1933,617,2550,3.29,2.79,6.08,army jacket,0.076337445,0.124847393,0.121296373
the army knife.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,3.61,1.07,28,0,0,0,0.03,9,80747,4.91,1933,663,2596,3.29,2.82,6.11,army knife,0.082118604,0.152904489,0.165461309
the army radio.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.32,1.09,28,0,0,0,0.03,9,4544,3.66,1933,1503,3436,3.29,3.18,6.46,army radio,0.13338409,0.268146097,0.209695127
the army truck.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.89,0.42,28,0,0,0,0.05,9,8832,3.95,1933,444,2377,3.29,2.65,5.93,army truck,0.137294411,0.254871134,0.223332556
the army wife.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,2,1,3.46,1.14,28,0,0,0,0.07,8,3697,3.57,1933,3777,5710,3.29,3.58,6.86,army wife,0.114844219,0.195137236,0.274797608
the arrow key.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,1.79,1.85,28,0,0,0,0.33,8,112090,5.05,145,1281,1426,2.16,3.11,5.27,arrow key,0.072184818,0.111525876,0.428605884
the arrow orange.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,-1,0.36,0.73,28,0,0,0,0.12,11,88,1.95,145,495,640,2.16,2.69,4.86,arrow orange,0.247692882,0.197636051,0.315017599
the automobile engine.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,4,0,29,,0,0,0.42,16,16113,4.21,262,788,1050,2.42,2.9,5.31,automobile engine,0.307160051,0.448682802,0.667409506
the automobile magazine.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.79,0.68,29,,0,0,0.11,18,4854,3.69,262,703,965,2.42,2.85,5.27,automobile magazine,0.08827019,0.204488843,0.252043358
the automobile street.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1,1,1.41,1.32,29,,0,0,0.1,16,112,2.05,262,4546,4808,2.42,3.66,6.08,automobile street,0.148745484,0.166159924,0.167068556
the autumn leaf.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.93,0.38,28,0.04,0,0.02,0.28,10,13814,4.14,605,279,884,2.78,2.45,5.23,autumn leaf,0.247192072,0.283216035,0.234251983
the autumn sun.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.89,0.31,28,0,0,0,0.16,9,8944,3.95,605,2689,3294,2.78,3.43,6.21,autumn sun,0.216794657,0.349217015,0.367451163
the axe rope.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,1,-1,0.21,0.5,28,0,,0,0.34,7,0,0,127,564,691,2.1,2.75,4.86,axe rope,0.277251572,0.229131222,0.646012609
the baby ape.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2,-1,3.64,0.78,28,0,0,0,0.23,7,500,2.7,3281,90,3371,3.52,1.95,5.47,baby ape,0.240778306,0.194279758,0.507615922
the baby bird.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2,1,3.96,0.19,28,0,0,0,0.05,8,23950,4.38,3281,752,4033,3.52,2.88,6.39,baby bird,0.26926692,0.241582145,0.522341837
the baby blood.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,0,1,2.46,1.4,28,0,0,0,0.04,9,2098,3.32,3281,2536,5817,3.52,3.4,6.92,baby blood,0.237997497,0.26303234,0.471864976
the baby book.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,3,1,3.86,0.59,28,0,0,0,0.05,8,41604,4.62,3281,4932,8213,3.52,3.69,7.21,baby book,0.049912772,0.217810779,0.302359824
the baby bottle.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,3.79,0.83,28,0,0.045,0.02,0.2,10,49621,4.7,3281,1479,4760,3.52,3.17,6.69,baby bottle,0.311893753,0.353612643,0.399608887
the baby boy.,Makes Sense,1,2,Makes Sense,1,4,Makes Sense,1,4,1,3.96,0.19,28,0.13,0.026,0.08,0.2,7,388515,5.59,3281,3876,7157,3.52,3.59,7.1,baby boy,0.51938829,0.546677527,0.783792702
the baby bullet.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1,1,0.75,0.93,28,0,0,0,0.04,10,483,2.68,3281,229,3510,3.52,2.36,5.88,baby bullet,0.132445519,0.222511477,0.360693235
the baby clothes.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.01,0,0,0.16,11,334468,5.52,3281,2225,5506,3.52,3.35,6.86,baby clothes,0.327188637,0.37837261,0.427811685
the baby corn.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,3.36,1.22,28,0,0,0,0.07,8,20116,4.3,3281,445,3726,3.52,2.65,6.16,baby corn,0.148274506,0.162700734,0.283608682
the baby crocodile.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3,1,3.93,0.27,27,0,0,0,0.1,13,1934,3.29,3281,70,3351,3.52,1.85,5.36,baby crocodile,0.259655845,0.191522462,0.452617744
the baby face.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,2,1,3.64,0.78,28,0.08,0,0.04,0.22,8,27006,4.43,3281,8000,11281,3.52,3.9,7.42,baby face,0.121444937,0.256390395,0.289905998
the baby goat.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,2,1,3.75,0.8,28,0,0,0,0.04,8,5742,3.76,3281,209,3490,3.52,2.32,5.84,baby goat,0.291051173,0.317749544,0.582192687
the baby gorilla.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2,1,3.93,0.38,28,0,0,0,0.3,11,4665,3.67,3281,34,3315,3.52,1.53,5.05,baby gorilla,0.320134367,0.29452763,0.5877518
the baby house.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1,-1,2.21,1.47,29,0.01,0,0,0.11,9,1941,3.29,3281,8601,11882,3.52,3.93,7.45,baby house,0.211613346,0.210876377,0.222517853
the baby juice.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,1.96,1.23,28,0,0,0,0.1,9,1515,3.18,3281,365,3646,3.52,2.56,6.08,baby juice,0.206675458,0.212022567,0.251206898
the baby mattress.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4,1,2.39,1.31,28,0,0,0,0.13,12,5358,3.73,3281,170,3451,3.52,2.23,5.75,baby mattress,0.320332475,0.182034528,0.346022086
the baby milk.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,2.86,1.18,28,0.01,0,0,0.24,8,18653,4.27,3281,1868,5149,3.52,3.27,6.79,baby milk,0.349372436,0.384202559,0.367428768
the baby orange.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1,1,1.75,1.35,28,0,0,0,0.11,10,561,2.75,3281,495,3776,3.52,2.69,6.21,baby orange,0.082703111,0.146728937,0.273318946
the baby picture.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.79,0.83,28,0,0,0,0.11,11,31339,4.5,3281,1905,5186,3.52,3.28,6.8,baby picture,0.170964869,0.304417108,0.322643711
the baby rabbit.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,3.89,0.42,28,0,0,0,0.08,10,5491,3.74,3281,189,3470,3.52,2.28,5.79,baby rabbit,0.276117652,0.254538509,0.67516889
the baby sister.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,4,0,28,0,0,0,0.37,10,69481,4.84,3281,1464,4745,3.52,3.17,6.68,baby sister,0.371295763,0.430579919,0.595629681
the baby squirrel.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3,1,3.93,0.26,28,0,0,0,0.03,12,3918,3.59,3281,63,3344,3.52,1.8,5.32,baby squirrel,0.271215919,0.218578303,0.468673711
the baby teeth.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3,1,3.82,0.48,28,0,0,0,0.19,9,36451,4.56,3281,1396,4677,3.52,3.14,6.66,baby teeth,0.202177707,0.313774221,0.375739075
the baby trumpet.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1,1,2,1.22,28,0,0,0,0.09,11,0,0,3281,89,3370,3.52,1.95,5.47,baby trumpet,0.140024191,0.132023212,0.203383013
the baby water.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,1.57,1.35,28,0,0,0,0.06,9,1809,3.26,3281,7749,11030,3.52,3.89,7.41,baby water,0.189899431,0.241738062,0.289420719
the bag body.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,1,-1,0.93,1.15,28,0,0,0,0.05,7,4959,3.7,1122,5243,6365,3.05,3.72,6.77,bag body,0.257988242,0.293865314,0.443412817
the bag book.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,-1,1,1,29,0,0,0,0.07,7,4320,3.64,1122,4932,6054,3.05,3.69,6.74,bag book,0.163421611,0.220266989,0.363292425
the bag chair.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1,1,1.39,1.45,28,0,0,0,0.3,8,31383,4.5,1122,1876,2998,3.05,3.27,6.32,bag chair,0.131771876,0.229038892,0.363158321
the bag dime.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1,-1,0.61,0.92,28,0,0,0,0.41,7,69,1.85,1122,66,1188,3.05,1.82,4.87,bag dime,0.20899683,0.303015599,0.394576165
the bag flea.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1,-1,0.32,0.72,28,0,0,0,0.15,7,0,0,1122,30,1152,3.05,1.48,4.53,bag flea,0.175429032,0.189238798,0.241359708
the bag gun.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,1,-1,0.39,0.74,28,0,0,0,0.29,6,520,2.72,1122,1138,2260,3.05,3.06,6.11,bag gun,0.289409833,0.297247889,0.468503668
the bag gym.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,3,-1,0.75,0.93,28,0,0,0,0.22,6,676,2.83,1122,73,1195,3.05,1.86,4.91,bag gym,0.199809077,0.3328854,0.341529292
the bag ice.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,3,-1,2.21,1.45,29,0,0,0,0.06,6,989,3,1122,934,2056,3.05,2.97,6.02,bag ice,0.158134544,0.236355928,0.403261725
the bag money.,Makes Sense,1,4,Makes Sense,1,2,Nonsense,0,3,-1,1.54,1.2,28,0,0,0,0.18,8,458,2.66,1122,7226,8348,3.05,3.86,6.91,bag money,0.116774843,0.277239732,0.372654108
the bag nut.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1,-1,0.71,0.9,28,0,0,0,0.2,6,372,2.57,1122,123,1245,3.05,2.09,5.14,bag nut,0.165536739,0.194348678,0.45923239
the bag onion.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1,-1,0.68,0.98,28,0,0,0,0.17,8,0,0,1122,170,1292,3.05,2.23,5.28,bag onion,0.153330097,0.167157566,0.247792914
the bag school.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,-1,0.55,0.87,29,0,0,0,0.13,9,857,2.93,1122,6984,8106,3.05,3.84,6.89,bag school,0.062604645,0.143911032,0.141527939
the bag soup.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1,-1,0.43,0.74,28,0,0,0,0.22,7,0,0,1122,362,1484,3.05,2.56,5.61,bag soup,0.266065976,0.266102018,0.377986114
the bag tea.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2,-1,1.68,1.28,28,0,0,0,0.23,6,1544,3.19,1122,1589,2711,3.05,3.2,6.25,bag tea,0.129420429,0.261669494,0.416324688
the bag trash.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2,-1,0.97,0.98,29,0,0,0,0.27,8,677,2.83,1122,66,1188,3.05,1.82,4.87,bag trash,0.319927622,0.502149432,0.533225487
the bag truck.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,-1,0.57,0.88,28,0,0,0,0.34,8,245,2.39,1122,444,1566,3.05,2.65,5.7,bag truck,0.270520587,0.340239158,0.512634113
the baker book.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2,1,2.64,1.25,28,0,0,0,0.06,9,271,2.43,269,4932,5201,2.43,3.69,6.12,baker book,0.14844589,0.236229246,0.172486915
the ball beach.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,-1,1.07,1.09,28,0.01,0,0,0.03,9,2321,3.37,1664,1060,2724,3.22,3.03,6.25,ball beach,0.122697925,0.203534087,0.31545503
the ball cap.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1,1,3.11,1.55,28,0,0,0,0.17,7,35676,4.55,1664,489,2153,3.22,2.69,5.91,ball cap,0.11441148,0.25206194,0.510157493
the ball field.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,3.29,1.15,28,0,0,0,0.29,9,36715,4.56,1664,2327,3991,3.22,3.37,6.59,ball field,0.368978575,0.427025821,0.406808922
the ball fire.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,-1,0.96,1.17,28,0,0,0,0.04,8,1217,3.09,1664,2738,4402,3.22,3.44,6.66,ball fire,0.104999214,0.214847673,0.36538509
the ball golf.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2,-1,0.96,1.2,28,0.01,0,0,0.43,8,12629,4.1,1664,546,2210,3.22,2.74,5.96,ball golf,0.250310485,0.309838977,0.347534403
the ball orange.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1,-1,0.64,0.99,28,0,0,0,0.07,10,212,2.33,1664,495,2159,3.22,2.69,5.92,ball orange,0.051660588,0.160958998,0.252120362
the ball tennis.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3,-1,1.52,1.3,29,0.01,0,0,0.55,10,1500,3.18,1664,398,2062,3.22,2.6,5.82,ball tennis,0.271169901,0.276669032,0.31460228
the ball tree.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,0,-1,0.43,0.79,28,0,0,0,0.06,8,604,2.78,1664,1293,2957,3.22,3.11,6.33,ball tree,0.146056062,0.230199954,0.459874635
the ball winter.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1,-1,0.25,0.59,28,0,0,0,0.01,10,87,1.94,1664,1423,3087,3.22,3.15,6.37,ball winter,0.094195237,0.145486829,0.214340843
the ball yarn.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,1.21,1.13,28,0,0,0,0.09,8,159,2.2,1664,24,1688,3.22,1.38,4.6,ball yarn,0.09376537,0.204293743,0.390769669
the ballet school.,Makes Sense,1,3,Nonsense,0,2,Makes Sense,1,4,1,4,0,29,0,0,0,0.28,12,15114,4.18,272,6984,7256,2.43,3.84,6.28,ballet school,0.17619601,0.285963113,0.280349689
the banana gold.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,-1,0.41,0.73,29,0,0,0,0.1,10,0,0,74,1575,1649,1.87,3.2,5.07,banana gold,0.155714896,0.072804006,0.371397059
the banana ice.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2,1,1.34,1.47,29,0,0,0,0.12,9,3023,3.48,74,934,1008,1.87,2.97,4.84,banana ice,0.11859854,0.18622993,0.398354627
the banana leaf.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,2,1,2.93,1.56,29,0,0,0,0.19,10,23499,4.37,74,279,353,1.87,2.45,4.31,banana leaf,0.360216981,0.338526963,0.557276967
the banana nut.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3,1,3.1,1.29,29,0,0,0,0.07,9,11261,4.05,74,123,197,1.87,2.09,3.96,banana nut,0.391331482,0.483995915,0.882349078
the banana pie.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.83,0.66,29,0,0,0,0.37,9,1067,3.03,74,225,299,1.87,2.35,4.22,banana pie,0.272673758,0.328796012,0.651912081
the banana plant.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,1,1,3.38,1.18,29,0,0,0,0.14,11,9088,3.96,74,1302,1376,1.87,3.11,4.98,banana plant,0.220597403,0.218476743,0.321666966
the banana skin.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3,1,3.62,0.98,29,0.19,0.014,0.1,0.09,10,11724,4.07,74,1617,1691,1.87,3.21,5.08,banana skin,0.09244981,0.263165317,0.331882518
the banana tree.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.59,1.09,29,0.05,0,0.02,0.22,10,19011,4.28,74,1293,1367,1.87,3.11,4.98,banana tree,0.286887688,0.349649436,0.419078809
the barn bike.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,-1,0.93,1.27,28,0,0,0,0.12,8,0,0,186,153,339,2.27,2.18,4.45,barn bike,0.234173361,0.187699641,0.322191194
the barn cat.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2,1,3.44,1.05,27,0,0,0,0.24,7,3197,3.5,186,739,925,2.27,2.87,5.14,barn cat,0.246743315,0.277542875,0.31176133
the barn door.,Nonsense,0,2,Makes Sense,1,4,Makes Sense,1,4,1,3.86,0.76,28,0.23,0.047,0.14,0.32,8,42002,4.62,186,5891,6077,2.27,3.77,6.04,barn door,0.299614111,0.369741759,0.511821432
the barn horse.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4,-1,2.69,1.39,29,0,0.165,0.08,0.4,9,1889,3.28,186,1518,1704,2.27,3.18,5.45,barn horse,0.517165149,0.40212821,0.386674386
the beach ball.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,29,0.05,0.024,0.04,0.03,9,56756,4.75,1060,1664,2724,3.03,3.22,6.25,beach ball,0.122697925,0.203534087,0.31545503
the beach chair.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4,1,3.79,0.62,29,0,0,0,0.1,10,53354,4.73,1060,1876,2936,3.03,3.27,6.3,beach chair,0.092625372,0.178937293,0.184086571
the beach house.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.86,0.44,29,0.01,0,0,0.13,10,310025,5.49,1060,8601,9661,3.03,3.93,6.96,beach house,0.243504734,0.248085929,0.413064188
the beach picture.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.43,1.14,28,0,0,0,0.09,12,17453,4.24,1060,1905,2965,3.03,3.28,6.31,beach picture,0.112236544,0.129052211,0.237380696
the beach road.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.14,1.22,29,0,0,0,0.13,9,15979,4.2,1060,3791,4851,3.03,3.58,6.6,beach road,0.318297155,0.316234159,0.585235945
the beach sand.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,3.25,1.21,28,0.29,0.394,0.34,0.73,9,33186,4.52,1060,952,2012,3.03,2.98,6,beach sand,0.520518391,0.468190408,0.48724111
the beach summer.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,-1,1.39,1.29,28,0,0.024,0.01,0.26,11,1980,3.3,1060,2165,3225,3.03,3.34,6.36,beach summer,0.221693392,0.342935928,0.23493196
the beach sunset.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.31,1.23,29,0,0,0,0.27,11,8889,3.95,1060,165,1225,3.03,2.22,5.24,beach sunset,0.381495277,0.407017635,0.438946214
the beach umbrella.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4,1,3.69,0.93,29,0,0,0,0.22,13,32280,4.51,1060,203,1263,3.03,2.31,5.33,beach umbrella,0.09990406,0.073844481,0.136371587
the beard summer.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1,-1,0.29,0.66,28,0,0,0,0.15,11,0,0,397,2165,2562,2.6,3.34,5.93,beard summer,0.045585635,0.096040471,0.145194895
the bed clothes.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,2.28,1.44,29,0.02,0,0.01,0.36,10,10964,4.04,4376,2225,6601,3.64,3.35,6.99,bed clothes,0.296364348,0.413198468,0.49278653
the bed dog.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1,-1,0.93,0.9,28,0,0,0,0.1,6,7914,3.9,4376,1285,5661,3.64,3.11,6.75,bed dog,0.20662018,0.300845306,0.345009146
the bed face.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,0.83,1.1,29,0,0,0,0.31,7,2234,3.35,4376,8000,12376,3.64,3.9,7.54,bed face,0.133721649,0.18911718,0.415530392
the bed flower.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,-1,1.04,1,28,0,0,0,0.08,9,890,2.95,4376,496,4872,3.64,2.7,6.34,bed flower,0.242464835,0.294700817,0.433422112
