Stim,Humans Continuous,SD,Word2Vec,GloVe,Taxonomic
the bed mattress.,3.14,1.48,0.562004155,0.504397732,0.677435149
the bed ocean.,0.79,1.03,0.211739753,0.246892119,0.418073527
the bed river.,1.24,1.15,0.227369035,0.261250952,0.364920268
the bed road.,0.43,0.84,0.118891079,0.16353614,0.342389969
the bed sheet.,4,0,0.279251541,0.284128432,0.535840462
the bed stream.,0.57,1.03,0.157197722,0.299324178,0.482104045
the bed water.,0.96,1.04,0.239895124,0.379776499,0.549155283
the bedroom door.,4,0,0.383681794,0.487156021,0.553984544
the bedroom house.,0.96,1.32,0.649693734,0.43316906,0.512383907
the bedroom television.,3.39,0.96,0.151502728,0.146318106,0.182982456
the bedroom window.,3.89,0.58,0.380555257,0.444931477,0.552522641
the beef salmon.,0.36,0.73,0.349821087,0.364137133,0.727794235
the bell book.,1.5,1.43,0.040044823,0.147386013,0.24267896
the bell church.,1.25,1.04,0.150392109,0.25034913,0.340356248
the bell door.,1.18,1.12,0.174732146,0.260268238,0.37858703
the bell fire.,0.96,1.2,0.165317668,0.189390527,0.21634537
the bell gold.,0.66,0.72,0.153082416,0.124959714,0.403620675
the bell pepper.,3.71,1.05,0.03753499,0.323827725,0.260462131
the bell sleigh.,1.28,1.03,0.279969858,0.192636485,0.38985283
the bell tower.,4,0,0.272511332,0.423991516,0.397279881
the bench piano.,1.11,1.2,0.15139257,0.201404127,0.319267661
the bench seat.,3.18,1.19,0.201603663,0.3549043,0.519657244
the bible blood.,0.64,0.95,0.154064566,0.150769267,0.321221475
the bible school.,3.82,0.39,0.171475669,0.301463125,0.209225165
the bike barn.,1.43,1.43,0.234173361,0.187699641,0.322191194
the bike cop.,3.38,1.15,0.23691563,0.222516763,0.347166573
the bike headlight.,3.45,0.99,0.352751048,0.167069878,0.497681903
the bike home.,1.48,1.6,0.176714973,0.158586455,0.274557856
the bike leg.,1.14,1.36,0.253741393,0.265958669,0.439248931
the bike mountain.,1.36,1.31,0.250175064,0.364487804,0.292357578
the bike pants.,2.9,1.47,0.27230956,0.310585642,0.348339607
the bike seat.,3.79,0.77,0.144281705,0.230064023,0.412957813
the bike street.,1.38,1.21,0.331170693,0.202837656,0.283038139
the bike summer.,0.82,1.06,0.153503172,0.244503524,0.162258007
the bird blood.,3,1.54,0.075823921,0.199676592,0.371521752
the bird cage.,4,0,0.277400937,0.226489331,0.412827675
the bird cat.,0.71,0.98,0.514626299,0.397554689,0.728127383
the bird foot.,3.18,1.16,0.082578086,0.27379705,0.316554979
the bird guy.,2.71,1.54,0.140410314,0.122022837,0.405396754
the bird holiday.,1,1.09,0.174180372,0.161352575,0.294423289
the bird leg.,3.21,1.26,0.159603281,0.119880978,0.332098875
the bird magazine.,3.54,1.07,0.014897656,0.088975368,0.207991292
the bird meat.,3.14,1.33,0.25966184,0.334510831,0.373792663
the bird pet.,1.31,1.04,0.419016528,0.304386232,0.635053223
the bird sea.,0.89,0.99,0.152885443,0.324471471,0.319775538
the bird seat.,1.14,1.33,0.077104969,0.083935431,0.257629436
the bird snow.,0.61,1.07,0.136644641,0.188853228,0.432672169
the bird zoo.,2.86,1.25,0.351823838,0.297462214,0.363795176
the blood alcohol.,3.03,1.45,0.37127557,0.402201763,0.570252307
the blood ape.,0.69,0.97,-0.00960639,0.083758436,0.322165349
the blood baby.,1.14,1.41,0.237997497,0.26303234,0.471864976
the blood bible.,0.83,1.23,0.154064566,0.150769267,0.321221475
the blood bird.,0.5,0.69,0.075823921,0.199676592,0.371521752
the blood cat.,0.46,0.74,0.103597979,0.19570198,0.433266255
the blood chicken.,0.54,0.74,0.162339401,0.186415004,0.362804286
the blood cow.,0.46,0.79,0.202026576,0.290416215,0.440010675
the blood duck.,0.66,1.04,0.107615435,0.099016719,0.301592823
the blood father.,2.59,1.68,0.141740346,0.238277306,0.286011628
the blood gorilla.,0.93,1.19,0.032369929,0.058514991,0.273230021
the blood mother.,2.55,1.59,0.178979998,0.309734068,0.32782659
the blood soup.,0.86,1.43,0.164991159,0.143025849,0.348776312
the blood stream.,3.52,1.15,0.159409724,0.294398886,0.434888003
the blood sugar.,3.43,1.35,0.202796811,0.241867841,0.503155556
the body ape.,0.59,0.82,0.151872527,0.121578387,0.301388223
the body bag.,3.93,0.26,0.257988242,0.293865314,0.443412817
the body car.,1.11,1.23,0.25992068,0.372690115,0.474360345
the body deer.,0.54,0.69,0.119857451,0.0893702,0.253576951
the body dog.,0.78,1.28,0.197146885,0.235399446,0.416859348
the body girl.,1.34,1.29,0.25819705,0.364575826,0.329479996
the body truck.,0.96,0.92,0.203133144,0.280047512,0.378801309
the bomb army.,1.04,1,0.189176321,0.325253701,0.250174466
the bomb car.,1.5,1.55,0.227826553,0.502515617,0.311926773
the bomb pipe.,1.38,1.47,0.228693818,0.318387261,0.411089141
the bomb school.,1.03,1.21,0.070962807,0.143984196,0.15781526
the book army.,0.79,0.98,0.02177513,0.125629718,0.161081901
the book baby.,1.1,1.08,0.049912772,0.217810779,0.302359824
the book bag.,4,0,0.163421611,0.220266989,0.363292425
the book baker.,0.21,0.63,0.14844589,0.236229246,0.172486915
the book bell.,0.39,0.74,0.040044823,0.147386013,0.24267896
the book bread.,0.25,0.44,0.101040897,0.179047397,0.206570895
the book bridge.,0.66,0.9,0.03384997,0.11172638,0.252169849
the book chess.,1,1.16,0.138965198,0.220412982,0.252596622
the book dog.,0.68,0.94,0.085556083,0.30554295,0.349064678
the book dollar.,0.66,1.04,0.066333723,0.131250523,0.147438636
the book horse.,0.62,0.9,0.068010579,0.244827134,0.3155388
the book jacket.,2.89,1.37,0.225636982,0.240028767,0.229068319
the book key.,1.46,1.43,0.034834399,0.188126146,0.329200539
the book magazine.,1.03,1.09,0.359397462,0.521104596,0.539908219
the book mirror.,0.5,0.92,0.116643132,0.249254559,0.387140734
the book phone.,0.76,1.02,0.167862629,0.219166771,0.412286373
the book pipe.,0.45,0.91,-0.018815996,0.01240043,0.247542892
the book puppy.,0.59,0.95,0.116324011,0.086432327,0.208066027
the book school.,1.1,1.05,0.085485133,0.253165901,0.257253315
the book shelf.,3.96,0.19,0.129505717,0.208338712,0.225440253
the book telephone.,1.21,1.2,0.105379511,0.158251132,0.320942851
the book worm.,3.81,0.62,0.081920052,0.066501431,0.22784818
the boot car.,0.71,0.98,0.223294464,0.163417688,0.444086763
the boot key.,1.14,1.46,0.071429393,0.122015999,0.40034301
the boot menu.,0.64,1.16,0.053808218,0.146069131,0.33301038
the boot screen.,0.57,1.03,0.168805603,0.217560598,0.435695491
the boot stage.,0.39,0.63,0.026238624,0.089510447,0.279404325
the bottle baby.,1.48,1.21,0.311893753,0.353612643,0.399608887
the bottle cap.,4,0,0.245177882,0.314062989,0.464194137
the bottle neck.,3.79,0.69,0.234967408,0.288665066,0.340654565
the bottle pill.,1.19,1.27,0.36267855,0.389676808,0.548935689
the bowl bread.,1.11,1.13,0.270938796,0.292077247,0.384190997
the bowl fire.,0.54,0.84,0.020075442,0.06561802,0.432332902
the bowl lid.,2.59,1.5,0.189795765,0.207966632,0.363660127
the bowl toilet.,0.79,0.86,0.265477984,0.200749471,0.301487969
the bowl water.,1.5,1.23,0.147055526,0.222663044,0.399589184
the boy book.,1.14,1.22,0.058230506,0.309664957,0.297859597
the boy cabin.,0.62,0.86,0.096216176,0.189663463,0.215480395
the boy clock.,0.43,1,0.066338982,0.057336377,0.297093485
the boy coffee.,0.59,0.78,0.040284201,0.134482665,0.244298974
the boy home.,0.71,1.01,0.194418435,0.305207324,0.247356468
the boy house.,1.21,1.18,0.16810973,0.271742494,0.249533182
the boy mouth.,1.18,1.33,0.15715671,0.286901886,0.248780717
the boy newspaper.,0.93,1.25,0.174906795,0.239860026,0.255230079
the boy nurse.,2.96,1.1,0.297822937,0.301422901,0.511803047
the boy pig.,2.57,1.45,0.262181715,0.310253526,0.523381003
the boy pool.,0.96,1.07,0.126929391,0.146216827,0.260565872
the boy sailor.,3.32,0.98,0.384425743,0.325813166,0.674618353
the boy trash.,0.79,1.29,0.134690307,0.223564712,0.272351142
the boy water.,0.61,1.03,0.13504646,0.18475694,0.208978676
the bracelet ankle.,1.18,1.22,0.158441171,0.392701813,0.263678767
the bracelet tennis.,0.83,1.14,0.12881528,0.165666587,0.161403673
the bread book.,2.64,1.52,0.101040897,0.179047397,0.206570895
the bread bowl.,3.86,0.45,0.270938796,0.292077247,0.384190997
the bread corn.,1.25,1.32,0.283787891,0.460817076,0.737913088
the bread flour.,2.79,1.26,0.615212546,0.629792553,0.805172881
the bread knife.,3.71,0.76,0.265461535,0.343370832,0.404261667
the breakfast menu.,4,0,0.401863702,0.501509035,0.523514081
the breakfast television.,0.86,1.27,0.199739376,0.295012518,0.255840147
the breast chicken.,1,1.31,0.25335944,0.365544676,0.605683673
the breast milk.,4,0,0.239265141,0.335876563,0.424309909
the breast stage.,0.72,1.31,0.128889026,0.223886031,0.19943115
the brick building.,4,0,0.524111691,0.597745137,0.490554705
the brick fireplace.,3.93,0.38,0.363485056,0.458161066,0.641166235
the brick home.,3.79,0.57,0.24434816,0.279135623,0.225025754
the brick road.,3.79,0.83,0.175163238,0.27912143,0.193048282
the bridge bus.,0.75,1.14,0.265822467,0.351853678,0.486355588
the bridge railroad.,1.29,1.3,0.396455201,0.437586464,0.587716987
the bridge rope.,1.36,1.22,0.300721189,0.311615282,0.406770667
the bubble butt.,2.93,1.63,0.108733176,0.058541886,0.490977192
the bubble gum.,4,0,0.115958828,0.368885215,0.489630912
the building bread.,0.18,0.39,0.036164037,0.058337554,0.153034408
the building car.,0.79,1.07,0.201239093,0.355505792,0.430349759
the building church.,1.04,0.92,0.241147148,0.44782047,0.640119304
the building cloud.,0.71,1.3,0.081440427,0.1456859,0.234090688
the building home.,1.04,1.17,0.233602219,0.397020664,0.586571816
the building hospital.,1.14,1.15,0.160858231,0.325641489,0.576800455
the building marble.,0.96,1,0.232879883,0.327027296,0.318727864
the building mountain.,0.36,0.62,0.115804371,0.183906834,0.353959645
the building plant.,1.41,1.45,0.218574119,0.330019878,0.436433363
the building pond.,0.96,1.29,0.144395039,0.158658438,0.470557127
the building prison.,0.81,1.11,0.131070228,0.254358291,0.536459124
the building railroad.,1,1.25,0.238713168,0.314842921,0.335451086
the building road.,1.07,1.05,0.20101343,0.360727606,0.442627576
the building school.,1.26,1.06,0.220314102,0.378489394,0.500510957
the building ship.,1.24,1.24,0.178256265,0.288753798,0.285311099
the building summer.,0.57,1.07,0.089503284,0.208359226,0.156688837
the bulb headlight.,0.93,1.03,0.389829321,0.364268211,0.675428988
the bulb refrigerator.,1.03,1.21,0.383454272,0.314521148,0.612538933
the bulb tulip.,1.43,1.32,0.483721424,0.356048556,0.664854748
the bull dog.,3.79,0.63,0.284767485,0.390514746,0.716651985
the bull pen.,2.96,1.64,0.180516542,0.172496453,0.398078622
the bullet baby.,0.31,0.71,0.132445519,0.222511477,0.360693235
the bullet gun.,1.36,1.25,0.472806381,0.425460175,0.755980822
the bullet ice.,0.18,0.48,-0.029069023,0.058554592,0.408935848
the bus bridge.,1.34,1.4,0.265822467,0.351853678,0.486355588
the bus field.,0.96,1.48,0.097299469,0.141907875,0.334322608
the bus window.,3.83,0.54,0.191205866,0.29147061,0.325404543
the butt boy.,0.86,1.01,0.193982794,0.229191239,0.389787212
the butt bubble.,1.03,1.15,0.108733176,0.058541886,0.490977192
the butt cheek.,3.79,0.5,0.380631158,0.332747316,0.590026214
the butt cigarette.,1.36,1.31,0.26184852,0.266041177,0.470841039
the butt tongue.,0.38,0.9,0.350154196,0.256088441,0.607602486
the butter apple.,1.28,1.22,0.246291943,0.316514171,0.675683038
the butter hotel.,0.52,1.09,0.038840572,0.043280073,0.078446242
the butter knife.,4,0,0.295922862,0.320083901,0.364711561
the butterfly weed.,1.25,1.29,0.233516145,0.271156753,0.498634308
the cab car.,2.97,1.3,0.536911176,0.459554765,0.78792053
the cab dollar.,1.45,1.4,0.069003822,-0.04393555,0.130121398
the cab horse.,0.66,0.97,0.186073901,0.190391442,0.425053607
the cab truck.,1.34,1.2,0.616910347,0.493679158,0.783671297
the cab window.,3.79,0.56,0.327388575,0.308637145,0.531307851
the cabin boy.,3.11,1.25,0.096216176,0.189663463,0.215480395
the cabin door.,3.96,0.19,0.334853007,0.401320975,0.609293854
the cabin ski.,1.07,0.96,0.2653546,0.238433552,0.341673525
the cabin window.,3.93,0.26,0.282484638,0.27491311,0.567587715
the cafe hotel.,1.41,1.12,0.4020607,0.513379701,0.786293993
the cafe road.,1.04,1.29,0.05763005,0.194674072,0.294319448
the cafe rock.,0.82,0.98,0.07232032,0.267314984,0.277916091
the cage door.,3.79,0.57,0.300676252,0.328454134,0.595884405
the cage orange.,0.32,0.72,0.126973304,0.088729292,0.20527374
the cage rib.,0.66,0.9,0.164336198,0.426837072,0.520847505
the cake apple.,1,1.04,0.373114555,0.318016865,0.579569579
the cake cheese.,1,1,0.454234572,0.498561437,0.866064612
the cake coffee.,1.21,0.9,0.296885448,0.386901082,0.720066765
the cake crab.,1.11,1.29,0.261870529,0.378860532,0.55812568
the cake flour.,3.07,1.28,0.400113686,0.493241764,0.685802876
the cake honey.,0.9,0.98,0.35973354,0.419938573,0.654875383
the cake lemon.,1.14,1.18,0.397378296,0.448076837,0.520657083
the cake marble.,0.93,1,0.282962837,0.224781609,0.379885831
the cake orange.,0.44,0.64,0.211172635,0.255681042,0.361145099
the candy apple.,3.93,0.26,0.405313484,0.340362489,0.6321339
the candy cane.,4,0,0.182279205,0.334852141,0.556781057
the candy chocolate.,2.5,1.35,0.637568859,0.666920057,0.853249588
the candy dish.,3.96,0.19,0.171041772,0.281431941,0.616618765
the candy ear.,0.54,0.92,0.172226454,0.253125762,0.276471962
the candy mountain.,2.5,1.48,0.010510726,0.10699166,0.182272491
the candy rock.,1.32,1.12,0.161460457,0.176035911,0.369039619
the candy wine.,1.32,1.52,0.224817038,0.278940703,0.732536501
the cane sword.,0.7,0.91,0.343529572,0.172529115,0.606389094
the cap ball.,0.79,0.98,0.11441148,0.25206194,0.510157493
the cap bottle.,0.72,0.84,0.245177882,0.314062989,0.464194137
the cap field.,0.61,1.17,0.130746399,0.203453671,0.425432935
the cap gold.,0.72,0.8,0.162744454,0.196368205,0.362459593
the cap ice.,1.21,1.21,0.162247133,0.24779425,0.372552856
the cap knee.,0.89,1.2,0.166121467,0.234620126,0.349192706
the cap screen.,0.36,0.78,0.118140424,0.132563304,0.459239944
the cap ski.,0.5,0.79,0.119062016,0.189167305,0.463697312
the cap skin.,0.57,0.74,0.064696159,0.186827254,0.460932715
the car body.,3.24,1.27,0.25992068,0.372690115,0.474360345
the car bomb.,3.76,0.79,0.227826553,0.502515617,0.311926773
the car boot.,1.45,1.59,0.223294464,0.163417688,0.444086763
the car building.,1.48,1.53,0.201239093,0.355505792,0.430349759
the car cattle.,0.61,0.99,0.169691076,0.172988121,0.31282792
the car clown.,0.79,0.88,0.098202348,0.111462419,0.225346241
the car engine.,4,0,0.408004215,0.484244184,0.721383421
the car magazine.,3.93,0.26,0.079356759,0.22103052,0.293963858
the car nut.,1.48,1.62,0.109384467,0.076058042,0.271590022
the car phone.,3.69,0.97,0.278576986,0.380520446,0.366412897
the car radio.,3.83,0.76,0.148800643,0.205334114,0.282983477
the car railroad.,0.86,1.08,0.217477695,0.228554587,0.314770157
the car seat.,3.97,0.19,0.286343285,0.376444078,0.444166857
the car street.,1.1,1.01,0.331412386,0.300168202,0.299836228
the car window.,3.93,0.37,0.306135117,0.37290462,0.418368353
the cat bird.,0.55,1.06,0.514626299,0.397554689,0.728127383
the cat blood.,3.62,1.08,0.103597979,0.19570198,0.433266255
the cat boy.,1.29,1.27,0.306202139,0.38932599,0.711206444
the cat door.,3,1.46,0.215620275,0.228989659,0.280524115
the cat engine.,0.52,1.09,0.043267228,0.019559284,0.263940095
the cat flea.,2.62,1.42,0.369882493,0.249971783,0.653337272
the cat foot.,2.97,1.4,0.119961251,0.205963549,0.297275343
the cat magazine.,3.55,0.78,0.073920121,0.163676752,0.271426231
the cat meat.,2.52,1.43,0.214696428,0.238235855,0.356676703
the cat mother.,2.83,1.2,0.277413799,0.278777136,0.472096376
the cat orange.,0.43,0.79,0.136307871,0.128533529,0.2609511
the cat pet.,1.03,0.98,0.689153118,0.587036544,0.831258792
the cat skin.,3.38,0.9,0.198652894,0.287246329,0.380245599
the cat tree.,1.21,1.5,0.253144003,0.245674166,0.397815732
the cattle car.,2.66,1.49,0.169691076,0.172988121,0.31282792
the cattle farmer.,3.83,0.76,0.455245885,0.385816789,0.483837621
the cattle home.,0.93,1.15,0.096065726,0.166360109,0.196301575
the cattle truck.,3.45,1.12,0.255923271,0.225940279,0.370570726
the cave snow.,1.21,1.23,0.237690359,0.329091402,0.531330426
the chair bag.,1,1.31,0.131771876,0.229038892,0.363158321
the chair beach.,1.11,1.1,0.092625372,0.178937293,0.184086571
the chair dog.,0.44,0.85,0.089380576,0.181471657,0.272817014
the chair face.,0.79,1.07,0.121095353,0.22933648,0.349855085
the chair kitchen.,1.24,1.09,0.208380022,0.334702974,0.319464796
the chair lawn.,0.96,0.92,0.130126649,0.287841155,0.258120032
the chair leg.,3.64,0.91,0.133783295,0.244399432,0.258319104
the chair peacock.,0.11,0.31,0.061619622,0.067374096,0.203023739
the cheek butt.,1.14,1.04,0.380631158,0.332747316,0.590026214
the cheese cake.,3.93,0.38,0.454234572,0.498561437,0.866064612
the cheese dish.,3.86,0.36,0.369113884,0.490171798,0.735209171
the cheese goat.,1.32,1.22,0.317911383,0.606518466,0.42771779
the chef television.,1,1.09,0.092905933,0.19920021,0.244752356
the chess book.,3,1.15,0.138965198,0.220412982,0.252596622
the chess engine.,0.11,0.31,0.012585105,0.090520062,0.201108904
the chess library.,1.29,1.33,0.176120284,0.211311481,0.260811139
the chestnut tree.,3.96,0.19,0.319396579,0.362764545,0.522334105
the chicken blood.,3.61,0.69,0.162339401,0.186415004,0.362804286
the chicken breast.,4,0,0.25335944,0.365544676,0.605683673
the chicken dish.,3.75,0.7,0.39793922,0.559958666,0.707407277
the chicken farmer.,3.69,0.6,0.337888544,0.2849156,0.273314104
the chicken meat.,3.86,0.76,0.679913065,0.689187176,0.89573566
the chicken pen.,2.9,1.68,0.122977764,0.054726006,0.259145951
the chicken pet.,1.03,1.02,0.312291654,0.326652915,0.508793138
the chicken rib.,3,1.39,0.354833987,0.367209422,0.528812251
the chicken salad.,4,0,0.504218364,0.556124629,0.83889582
the chicken soup.,4,0,0.550781527,0.603498094,0.82348036
the child boy.,1.43,1.23,0.592785106,0.595288313,0.79216974
the child infant.,1.45,1.45,0.701984161,0.633706589,0.770920028
the child mother.,1.34,1.4,0.617765723,0.641911628,0.716367419
the child seat.,3.66,0.86,0.180002852,0.203822268,0.23278516
the chimp mother.,3.1,1.18,0.244493798,0.093247655,0.319285256
the chocolate cake.,4,0,0.55075984,0.696558406,0.804442931
the chocolate candy.,4,0,0.637568859,0.666920057,0.853249588
the chocolate dog.,1.31,1.31,0.304887178,0.291343413,0.3306481
the chocolate ice.,0.93,1.19,0.297735538,0.449510427,0.510171342
the chocolate nose.,1.03,1.32,0.147404872,0.168129038,0.300537399
the church bell.,4,0,0.150392109,0.25034913,0.340356248
the church building.,3.81,0.63,0.241147148,0.44782047,0.640119304
the church door.,3.93,0.26,0.203579882,0.319817344,0.325312444
the church girl.,3.33,1.07,0.228738381,0.203506473,0.232245559
the church key.,3.79,0.83,-0.023337725,0.129879191,0.132390927
the church library.,3.18,1.49,0.340589976,0.325004874,0.585426826
the church mouse.,3.15,1.17,-0.05143967,-0.005877422,0.134950068
the church school.,3.14,1.21,0.400831479,0.407183068,0.64192676
the cigar smoke.,3.89,0.42,0.379714383,0.389939107,0.375910992
the cigarette butt.,3.72,0.88,0.26184852,0.266041177,0.470841039
the cigarette money.,3.03,1.43,0.135881948,0.21911636,0.481565361
the cigarette smoke.,3.93,0.37,0.433614997,0.492469574,0.43796426
the circle flower.,1.18,1.28,0.230543615,0.147364622,0.382595188
the circle rainbow.,0.63,1.18,0.260908862,0.16701016,0.376489745
the circle shoe.,0.21,0.63,0.079542975,0.140122718,0.343009678
the circus clown.,4,0,0.531188904,0.51217348,0.583520428
the circus elephant.,3.86,0.59,0.342581875,0.334438674,0.483389263
the cliff tree.,0.86,0.88,0.31409493,0.315049544,0.540701937
the clock body.,1.37,1.5,0.143040689,0.163361745,0.368175678
the clock boy.,1.17,1.2,0.066338982,0.057336377,0.297093485
the clock face.,3.34,1.26,0.071491398,0.184200983,0.413831999
the clock pendulum.,2.93,1.44,0.249329996,0.411285853,0.510925479
the clock police.,0.45,0.99,0.090389249,0.120961752,0.277093442
the clothes baby.,1.14,1.13,0.327188637,0.37837261,0.427811685
